,eng,fre
0,Go.,Ve.
1,Go.,Vete.
2,Go.,Vaya.
3,Go.,Váyase.
4,Hi.,Hola.
5,Run!,¡Corre!
6,Run.,Corred.
7,Who?,¿Quién?
8,Fire!,¡Fuego!
9,Fire!,¡Incendio!
10,Fire!,¡Disparad!
11,Help!,¡Ayuda!
12,Help!,¡Socorro! ¡Auxilio!
13,Help!,¡Auxilio!
14,Jump!,¡Salta!
15,Jump.,Salte.
16,Stop!,¡Parad!
17,Stop!,¡Para!
18,Stop!,¡Pare!
19,Wait!,¡Espera!
20,Wait.,Esperen.
21,Go on.,Continúa.
22,Go on.,Continúe.
23,Hello!,Hola.
24,I ran.,Corrí.
25,I ran.,Corría.
26,I try.,Lo intento.
27,I won!,¡He ganado!
28,Oh no!,"¡Oh, no!"
29,Relax.,Tomátelo con soda.
30,Smile.,Sonríe.
31,Attack!,¡Al ataque!
32,Attack!,¡Atacad!
33,Get up.,Levanta.
34,Go now.,Ve ahora mismo.
35,Got it!,¡Lo tengo!
36,Got it?,¿Lo pillas?
37,Got it?,¿Entendiste?
38,He ran.,Él corrió.
39,Hop in.,Métete adentro.
40,Hug me.,Abrázame.
41,I fell.,Me caí.
42,I know.,Yo lo sé.
43,I left.,Salí.
44,I lied.,Mentí.
45,I lost.,Perdí.
46,I quit.,Dimito.
47,I quit.,Renuncié.
48,I work.,Estoy trabajando.
49,I'm 19.,Tengo diecinueve.
50,I'm up.,Estoy levantado.
51,Listen.,Escucha.
52,Listen.,Escuche.
53,Listen.,Escuchen.
54,No way!,¡No puede ser!
55,No way!,De ninguna manera.
56,No way!,¡De ninguna manera!
57,No way!,¡Imposible!
58,No way!,¡De ningún modo!
59,No way!,¡De eso nada!
60,No way!,¡Ni cagando!
61,No way!,¡Mangos!
62,No way!,¡Minga!
63,No way!,¡Ni en pedo!
64,Really?,¿En serio?
65,Really?,¿La verdad?
66,Thanks.,¡Gracias!
67,Thanks.,Gracias.
68,Try it.,Pruébalo.
69,We try.,Lo procuramos.
70,We won.,Ganamos.
71,Why me?,¿Por qué yo?
72,Ask Tom.,Pregúntale a Tom.
73,Awesome!,¡Órale!
74,Be calm.,Mantente en calma.
75,Be cool.,Estate tranquilo.
76,Be fair.,Sé justo.
77,Be kind.,Sean gentiles.
78,Be nice.,Sé agradable.
79,Beat it.,Pírate.
80,Call me.,Llamame.
81,Call me.,Llamadme.
82,Call me.,Llámame.
83,Call us.,Llámanos.
84,Come in.,Entre.
85,Come in.,Pase.
86,Come in.,¡Entren!
87,Come on!,¡Órale!
88,Come on.,Ándale.
89,Come on.,¡Órale!
90,Drop it!,Suéltalo.
91,Get Tom.,Agarra a Tom.
92,Get out!,Bájate.
93,Get out.,Salte.
94,Get out.,Sal.
95,Get out.,Salí.
96,Get out.,Salid.
97,Get out.,Salgan.
98,Go away!,¡Vete de aquí!
99,Go away!,¡Lárgate!
100,Go away!,¡Salga de aquí!
101,Go away!,¡Largo!
102,Go away!,¡Vete ya!
103,Go away!,¡Órale!
104,Go away!,¡A la calle!
105,Go away.,¡Vete de aquí!
106,Go away.,¡Lárgate!
107,Go away.,¡Largo!
108,Go away.,¡Vete ya!
109,Go away.,¡Órale!
110,Go away.,Lárguese.
111,Go away.,Váyase.
112,Go home.,Vete a casa.
113,Go slow.,Vaya despacio.
114,Goodbye!,¡Hasta luego!
115,Goodbye!,Hasta la vista.
116,Goodbye!,¡Chau!
117,Hang on!,¡Espera!
118,Hang on!,¡Espera un momento!
119,Hang on!,¡Un segundo!
120,Hang on.,Agarra fuertemente.
121,He came.,Él vino.
122,He quit.,Él renunció.
123,Help me!,Ayúdame.
124,Help me.,Ayúdame.
125,Help me.,Échame una mano.
126,Help me.,Ayudame.
127,Help us.,Ayúdanos.
128,Hit Tom.,Golpea a Tom.
129,Hold it!,Espera.
